# z	ratio	Geff/GN	alpha_B
8.229458917835671405e-01 1.004882385018334601e+00 1.009788607720136566e+00 1.568083979634041780e-01
8.258517034068136864e-01 1.004862495290117952e+00 1.009748634440682302e+00 1.567618031264179090e-01
8.287575150300601212e-01 1.004842610331617703e+00 1.009708671538059210e+00 1.567152237288602368e-01
8.316633266533066671e-01 1.004822731467759800e+00 1.009668721674329639e+00 1.566686628701984829e-01
8.345691382765531019e-01 1.004802860001107412e+00 1.009628787466405164e+00 1.566221235963927427e-01
8.374749498997996477e-01 1.004782997212237738e+00 1.009588871486807760e+00 1.565756089008064622e-01
8.403807615230460826e-01 1.004763144360110161e+00 1.009548976264415643e+00 1.565291217250917855e-01
8.432865731462926284e-01 1.004743302682418182e+00 1.009509104285173375e+00 1.564826649600392638e-01
8.461923847695390632e-01 1.004723473395913169e+00 1.009469257992748226e+00 1.564362414463602302e-01
8.490981963927856091e-01 1.004703657696761843e+00 1.009429439789252037e+00 1.563898539755464445e-01
8.520040080160320439e-01 1.004683856760895333e+00 1.009389652035947327e+00 1.563435052907128642e-01
8.549098196392785898e-01 1.004664071744317377e+00 1.009349897053870793e+00 1.562971980873422428e-01
8.578156312625251356e-01 1.004644303783420511e+00 1.009310177124473684e+00 1.562509350140484921e-01
8.607214428857715705e-01 1.004624553995326464e+00 1.009270494490308590e+00 1.562047186733959980e-01
8.636272545090181163e-01 1.004604823478199238e+00 1.009230851355663816e+00 1.561585516226556836e-01
8.665330661322645511e-01 1.004585113311518230e+00 1.009191249887115838e+00 1.561124363744669785e-01
8.694388777555110970e-01 1.004565424556407738e+00 1.009151692214195650e+00 1.560663753976296309e-01
8.723446893787575318e-01 1.004545758255946275e+00 1.009112180430014050e+00 1.560203711178516917e-01
8.752505010020040777e-01 1.004526115435420364e+00 1.009072716591775443e+00 1.559744259183626913e-01
8.781563126252505125e-01 1.004506497102625628e+00 1.009033302721387138e+00 1.559285421406400030e-01
8.810621242484970583e-01 1.004486904247767542e+00 1.008993940805263723e+00 1.558827220842012307e-01
8.839679358717434932e-01 1.004467337838476526e+00 1.008954632784316185e+00 1.558369679949638265e-01
8.868737474949900390e-01 1.004447798697114980e+00 1.008915380307479959e+00 1.557912817784103399e-01
