# z	phi_prime_sq	E2	dE2_dz
1.167845569113822868e-01 -9.733706845571322985e-02 1.099329206835703676e+00 9.917600320870886277e-01
1.173844768953790779e-01 -9.701285851311063080e-02 1.099924622550540132e+00 9.932237722506794819e-01
1.179843968793758829e-01 -9.668955194106686191e-02 1.100520916459786669e+00 9.946877373213245388e-01
1.185843168633726741e-01 -9.636714656145312086e-02 1.101118088698539887e+00 9.961519278651238540e-01
1.191842368473694791e-01 -9.604564020041109207e-02 1.101716139402234784e+00 9.976163444474641651e-01
1.197841568313662841e-01 -9.572503068834785356e-02 1.102315068706646084e+00 9.990809876330180028e-01
1.203840768153630753e-01 -9.540531585993046459e-02 1.102914876747886685e+00 1.000545857985747578e+00
1.209839967993598803e-01 -9.508649355408045623e-02 1.103515563662407883e+00 1.002010956068902336e+00
1.215839167833566714e-01 -9.476856161396805811e-02 1.104117129586998258e+00 1.003476282445022072e+00
1.221838367673534764e-01 -9.445151788700680007e-02 1.104719574658784120e+00 1.004941837675937810e+00
1.227837567513502814e-01 -9.413536022484854382e-02 1.105322899015227955e+00 1.006407622322769591e+00
1.233836767353470726e-01 -9.382008648337737677e-02 1.105927102794129535e+00 1.007873636945931350e+00
1.239835967193438776e-01 -9.350569452270376947e-02 1.106532186133623918e+00 1.009339882105130481e+00
1.245835167033406687e-01 -9.319218220716046774e-02 1.107138149172181896e+00 1.010806358359366941e+00
1.251834366873374738e-01 -9.287954740529502651e-02 1.107744992048609767e+00 1.012273066266936361e+00
1.257833566713342788e-01 -9.256778798986659007e-02 1.108352714902048231e+00 1.013740006385429382e+00
1.263832766553310838e-01 -9.225690183783818998e-02 1.108961317871972607e+00 1.015207179271734095e+00
1.269831966393278611e-01 -9.194688683037287313e-02 1.109570801098191062e+00 1.016674585482034265e+00
1.275831166233246661e-01 -9.163774085282778981e-02 1.110181164720847047e+00 1.018142225571813553e+00
1.281830366073214711e-01 -9.132946179474787929e-02 1.110792408880415083e+00 1.019610100095853067e+00
1.287829565913182761e-01 -9.102204754986181756e-02 1.111404533717703425e+00 1.021078209608234477e+00
1.293828765753150811e-01 -9.071549601607505064e-02 1.112017539373852282e+00 1.022546554662340679e+00
1.299827965593118584e-01 -9.040980509546590882e-02 1.112631425990334044e+00 1.024015135810855348e+00
1.305827165433086634e-01 -9.010497269427880651e-02 1.113246193708951504e+00 1.025483953605764276e+00
1.311826365273054684e-01 -8.980099672291909363e-02 1.113861842671839408e+00 1.026953008598357808e+00
1.317825565113022734e-01 -8.949787509594812895e-02 1.114478373021462465e+00 1.028422301339228628e+00
1.323824764952990785e-01 -8.919560573207721554e-02 1.115095784900615339e+00 1.029891832378275751e+00
1.329823964792958557e-01 -8.889418655416211901e-02 1.115714078452423097e+00 1.031361602264703192e+00
1.335823164632926607e-01 -8.859361548919872376e-02 1.116333253820339211e+00 1.032831611547021744e+00
1.341822364472894658e-01 -8.829389046831576104e-02 1.116953311148146888e+00 1.034301860773049864e+00
1.347821564312862708e-01 -8.799500942677045134e-02 1.117574250579956852e+00 1.035772350489913673e+00
1.353820764152830480e-01 -8.769697030394346671e-02 1.118196072260208451e+00 1.037243081244048293e+00
1.359819963992798530e-01 -8.739977104333190860e-02 1.118818776333668552e+00 1.038714053581199837e+00
1.365819163832766581e-01 -8.710340959254590787e-02 1.119442362945430869e+00 1.040185268046424083e+00
1.371818363672734631e-01 -8.680788390330089477e-02 1.120066832240916632e+00 1.041656725184089360e+00
1.377817563512702681e-01 -8.651319193141418507e-02 1.120692184365872812e+00 1.043128425537875881e+00
1.383816763352670454e-01 -8.621933163679884604e-02 1.121318419466372562e+00 1.044600369650776406e+00
1.389815963192638504e-01 -8.592630098345721557e-02 1.121945537688814554e+00 1.046072558065099134e+00
1.395815163032606554e-01 -8.563409793947661386e-02 1.122573539179922530e+00 1.047544991322467700e+00
1.401814362872574604e-01 -8.534272047702459729e-02 1.123202424086745088e+00 1.049017669963817623e+00
1.407813562712542654e-01 -8.505216657234124233e-02 1.123832192556654785e+00 1.050490594529405852e+00
1.413812762552510427e-01 -8.476243420573532916e-02 1.124462844737348810e+00 1.051963765558803665e+00
1.419811962392478477e-01 -8.447352136157887381e-02 1.125094380776847203e+00 1.053437183590902215e+00
1.425811162232446527e-01 -8.418542602830138277e-02 1.125726800823493301e+00 1.054910849163910092e+00
1.431810362072414577e-01 -8.389814619838405207e-02 1.126360105025953295e+00 1.056384762815357758e+00
1.437809561912382628e-01 -8.361167986835486843e-02 1.126994293533215119e+00 1.057858925082094226e+00
1.443808761752350400e-01 -8.332602503878298872e-02 1.127629366494589114e+00 1.059333336500291711e+00
1.449807961592318450e-01 -8.304117971427336931e-02 1.128265324059706698e+00 1.060807997605444086e+00
1.455807161432286501e-01 -8.275714190346117327e-02 1.128902166378521033e+00 1.062282908932368208e+00
1.461806361272254551e-01 -8.247390961900676054e-02 1.129539893601305245e+00 1.063758071015205475e+00
1.467805561112222601e-01 -8.219148087758931798e-02 1.130178505878652206e+00 1.065233484387421159e+00
1.473804760952190374e-01 -8.190985369990295972e-02 1.130818003361476087e+00 1.066709149581806404e+00
1.479803960792158424e-01 -8.162902611064933034e-02 1.131458386201009025e+00 1.068185067130479782e+00
1.485803160632126474e-01 -8.134899613853392719e-02 1.132099654548803347e+00 1.069661237564886624e+00
1.491802360472094524e-01 -8.106976181626000810e-02 1.132741808556729346e+00 1.071137661415799247e+00
1.497801560312062574e-01 -8.079132118052306799e-02 1.133384848376975729e+00 1.072614339213320056e+00
1.503800760152030347e-01 -8.051367227200549592e-02 1.134028774162048947e+00 1.074091271486880661e+00
1.509799959991998397e-01 -8.023681313537085746e-02 1.134673586064772755e+00 1.075568458765243207e+00
1.515799159831966447e-01 -7.996074181925925950e-02 1.135319284238288651e+00 1.077045901576501929e+00
1.521798359671934497e-01 -7.968545637628129952e-02 1.135965868836053438e+00 1.078523600448080932e+00
1.527797559511902548e-01 -7.941095486301302797e-02 1.136613340011841000e+00 1.080001555906739297e+00
1.533796759351870320e-01 -7.913723533998959225e-02 1.137261697919741410e+00 1.081479768478569747e+00
1.539795959191838370e-01 -7.886429587170140643e-02 1.137910942714159157e+00 1.082958238688998431e+00
1.545795159031806421e-01 -7.859213452658760091e-02 1.138561074549814034e+00 1.084436967062787360e+00
1.551794358871774471e-01 -7.832074937703045747e-02 1.139212093581741136e+00 1.085915954124035299e+00
1.557793558711742521e-01 -7.805013849935142634e-02 1.139863999965289310e+00 1.087395200396176431e+00
1.563792758551710294e-01 -7.778029997380341010e-02 1.140516793856120703e+00 1.088874706401984804e+00
1.569791958391678344e-01 -7.751123188456797430e-02 1.141170475410211882e+00 1.090354472663570773e+00
1.575791158231646394e-01 -7.724293231974765916e-02 1.141825044783851606e+00 1.091834499702385664e+00
1.581790358071614444e-01 -7.697539937136234356e-02 1.142480502133641940e+00 1.093314788039220442e+00
1.587789557911582494e-01 -7.670863113534220901e-02 1.143136847616496254e+00 1.094795338194206824e+00
1.593788757751550267e-01 -7.644262571152403429e-02 1.143794081389641004e+00 1.096276150686817719e+00
1.599787957591518317e-01 -7.617738120364432597e-02 1.144452203610612839e+00 1.097757226035870115e+00
1.605787157431486367e-01 -7.591289571933515501e-02 1.145111214437260383e+00 1.099238564759522863e+00
1.611786357271454417e-01 -7.564916737011727343e-02 1.145771114027742454e+00 1.100720167375280001e+00
1.617785557111422468e-01 -7.538619427139647833e-02 1.146431902540528514e+00 1.102202034399989428e+00
1.623784756951390240e-01 -7.512397454245660355e-02 1.147093580134397328e+00 1.103684166349846008e+00
1.629783956791358290e-01 -7.486250630645510662e-02 1.147756146968437641e+00 1.105166563740390240e+00
1.635783156631326341e-01 -7.460178769041782287e-02 1.148419603202047501e+00 1.106649227086510257e+00
1.641782356471294391e-01 -7.434181682523278989e-02 1.149083948994932269e+00 1.108132156902441157e+00
1.647781556311262441e-01 -7.408259184564464084e-02 1.149749184507107502e+00 1.109615353701769003e+00
1.653780756151230213e-01 -7.382411089025109341e-02 1.150415309898895178e+00 1.111098817997427934e+00
1.659779955991198264e-01 -7.356637210149498396e-02 1.151082325330925693e+00 1.112582550301703055e+00
1.665779155831166314e-01 -7.330937362566107562e-02 1.151750230964136312e+00 1.114066551126230653e+00
1.671778355671134364e-01 -7.305311361286934146e-02 1.152419026959770720e+00 1.115550820981998870e+00
1.677777555511102414e-01 -7.279759021706988520e-02 1.153088713479379690e+00 1.117035360379349251e+00
1.683776755351070187e-01 -7.254280159603780642e-02 1.153759290684819083e+00 1.118520169827976085e+00
1.689775955191038237e-01 -7.228874591136769112e-02 1.154430758738250962e+00 1.120005249836928840e+00
1.695775155031006287e-01 -7.203542132846818546e-02 1.155103117802142698e+00 1.121490600914611946e+00
1.701774354870974337e-01 -7.178282601655652795e-02 1.155776368039265867e+00 1.122976223568785459e+00
