# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.928616661666166188e+00 9.210965800006956639e-02 1.985143525486463556e+00 2.106961671508386758e+00
2.928316731673167084e+00 9.210396855157061691e-02 1.985125955851935853e+00 2.106947446714077188e+00
2.928016801680167536e+00 9.209827856572175286e-02 1.985108426515322932e+00 2.106933220916253902e+00
2.927716871687168432e+00 9.209258804229729367e-02 1.985090937445718406e+00 2.106918994114110433e+00
2.927416941694169328e+00 9.208689698107139221e-02 1.985073488612245196e+00 2.106904766306818999e+00
2.927117011701169780e+00 9.208120538181811809e-02 1.985056079984030664e+00 2.106890537493590898e+00
2.926817081708170676e+00 9.207551324431141604e-02 1.985038711530228372e+00 2.106876307673619664e+00
2.926517151715171128e+00 9.206982056832511974e-02 1.985021383220009650e+00 2.106862076846063303e+00
2.926217221722172024e+00 9.206412735363296573e-02 1.985004095022570691e+00 2.106847845010133113e+00
2.925917291729172476e+00 9.205843360000852404e-02 1.984986846907112135e+00 2.106833612165058156e+00
2.925617361736173372e+00 9.205273930722533693e-02 1.984969638842867479e+00 2.106819378309957358e+00
2.925317431743174268e+00 9.204704447505675236e-02 1.984952470799079105e+00 2.106805143444077544e+00
2.925017501750174720e+00 9.204134910327603503e-02 1.984935342745014708e+00 2.106790907566569615e+00
2.924717571757175616e+00 9.203565319165636638e-02 1.984918254649959746e+00 2.106776670676648422e+00
2.924417641764176068e+00 9.202995673997076131e-02 1.984901206483212110e+00 2.106762432773514604e+00
2.924117711771176964e+00 9.202425974799215147e-02 1.984884198214091899e+00 2.106748193856319062e+00
2.923817781778177416e+00 9.201856221549334358e-02 1.984867229811944966e+00 2.106733953924287306e+00
2.923517851785178312e+00 9.201286414224704724e-02 1.984850301246123383e+00 2.106719712976609316e+00
2.923217921792178764e+00 9.200716552802583326e-02 1.984833412486007642e+00 2.106705471012453756e+00
2.922917991799179660e+00 9.200146637260218918e-02 1.984816563500991560e+00 2.106691228031039032e+00
2.922618061806180556e+00 9.199576667574844990e-02 1.984799754260490712e+00 2.106676984031537359e+00
2.922318131813181008e+00 9.199006643723686705e-02 1.984782984733934441e+00 2.106662739013131613e+00
2.922018201820181904e+00 9.198436565683956734e-02 1.984766254890776960e+00 2.106648492975022435e+00
2.921718271827182356e+00 9.197866433432855260e-02 1.984749564700486246e+00 2.106634245916399806e+00
2.921418341834183252e+00 9.197296246947574139e-02 1.984732914132551596e+00 2.106619997836464364e+00
2.921118411841183704e+00 9.196726006205291348e-02 1.984716303156479178e+00 2.106605748734398986e+00
2.920818481848184600e+00 9.196155711183172377e-02 1.984699731741794704e+00 2.106591498609407864e+00
2.920518551855185052e+00 9.195585361858374385e-02 1.984683199858039426e+00 2.106577247460649005e+00
2.920218621862185948e+00 9.195014958208042044e-02 1.984666707474779468e+00 2.106562995287333706e+00
2.919918691869186844e+00 9.194444500209306148e-02 1.984650254561592053e+00 2.106548742088644843e+00
2.919618761876187296e+00 9.193873987839287776e-02 1.984633841088078832e+00 2.106534487863797267e+00
2.919318831883188192e+00 9.193303421075099680e-02 1.984617467023857884e+00 2.106520232611952537e+00
2.919018901890188644e+00 9.192732799893836571e-02 1.984601132338565055e+00 2.106505976332307739e+00
2.918718971897189540e+00 9.192162124272588997e-02 1.984584837001852620e+00 2.106491719024059961e+00
